swing_type,swing_time,swing_price,confirmed_time
LOW,2024-08-30 03:00:00+01:00,1.1072970628738403,2024-08-30 08:00:00+01:00
HIGH,2024-08-30 09:00:00+01:00,1.1097548007965088,2024-08-30 14:00:00+01:00
LOW,2024-08-30 17:00:00+01:00,1.1047282218933105,2024-08-30 22:00:00+01:00
LOW,2024-09-02 01:00:00+01:00,1.1044842004776,2024-09-02 06:00:00+01:00
HIGH,2024-09-02 09:00:00+01:00,1.108033299446106,2024-09-02 14:00:00+01:00
HIGH,2024-09-03 15:00:00+01:00,1.1068068742752075,2024-09-03 20:00:00+01:00
HIGH,2024-09-04 08:00:00+01:00,1.1065618991851807,2024-09-04 13:00:00+01:00
LOW,2024-09-04 13:00:00+01:00,1.1043622493743896,2024-09-04 18:00:00+01:00
HIGH,2024-09-04 15:00:00+01:00,1.1097548007965088,2024-09-04 20:00:00+01:00
LOW,2024-09-05 05:00:00+01:00,1.1077877283096313,2024-09-05 10:00:00+01:00
HIGH,2024-09-05 13:00:00+01:00,1.1122233867645264,2024-09-05 18:00:00+01:00
LOW,2024-09-05 15:00:00+01:00,1.1079105138778687,2024-09-05 20:00:00+01:00
HIGH,2024-09-06 13:00:00+01:00,1.1154489517211914,2024-09-06 18:00:00+01:00
LOW,2024-09-06 14:00:00+01:00,1.107051968574524,2024-09-06 19:00:00+01:00
LOW,2024-09-09 15:00:00+01:00,1.1038745641708374,2024-09-09 20:00:00+01:00
HIGH,2024-09-09 18:00:00+01:00,1.1057054996490479,2024-09-09 23:00:00+01:00
LOW,2024-09-10 01:00:00+01:00,1.103265643119812,2024-09-10 06:00:00+01:00
HIGH,2024-09-10 07:00:00+01:00,1.1052166223526,2024-09-10 12:00:00+01:00
LOW,2024-09-10 15:00:00+01:00,1.1019283533096313,2024-09-10 20:00:00+01:00
LOW,2024-09-10 22:00:00+01:00,1.1018069982528687,2024-09-11 03:00:00+01:00
HIGH,2024-09-11 06:00:00+01:00,1.1054610013961792,2024-09-11 11:00:00+01:00
HIGH,2024-09-11 12:00:00+01:00,1.1057054996490479,2024-09-11 17:00:00+01:00
LOW,2024-09-11 15:00:00+01:00,1.100594401359558,2024-09-11 20:00:00+01:00
HIGH,2024-09-11 20:00:00+01:00,1.1030223369598389,2024-09-12 01:00:00+01:00
LOW,2024-09-13 08:00:00+01:00,1.1075423955917358,2024-09-13 13:00:00+01:00
LOW,2024-09-13 21:00:00+01:00,1.1076650619506836,2024-09-16 03:00:00+01:00
HIGH,2024-09-16 14:00:00+01:00,1.1138337850570679,2024-09-16 19:00:00+01:00
HIGH,2024-09-16 22:00:00+01:00,1.113709807395935,2024-09-17 03:00:00+01:00
LOW,2024-09-17 08:00:00+01:00,1.1119760274887085,2024-09-17 13:00:00+01:00
HIGH,2024-09-17 09:00:00+01:00,1.114951491355896,2024-09-17 14:00:00+01:00
HIGH,2024-09-18 02:00:00+01:00,1.1133378744125366,2024-09-18 07:00:00+01:00
LOW,2024-09-18 07:00:00+01:00,1.1119760274887085,2024-09-18 12:00:00+01:00
HIGH,2024-09-18 19:00:00+01:00,1.11906898021698,2024-09-19 00:00:00+01:00
LOW,2024-09-19 02:00:00+01:00,1.107419729232788,2024-09-19 07:00:00+01:00
HIGH,2024-09-19 19:00:00+01:00,1.1170687675476074,2024-09-20 00:00:00+01:00
HIGH,2024-09-20 08:00:00+01:00,1.1184431314468384,2024-09-20 13:00:00+01:00
LOW,2024-09-20 16:00:00+01:00,1.1139578819274902,2024-09-20 21:00:00+01:00
HIGH,2024-09-23 06:00:00+01:00,1.1170687675476074,2024-09-23 11:00:00+01:00
LOW,2024-09-23 09:00:00+01:00,1.1087703704833984,2024-09-23 14:00:00+01:00
HIGH,2024-09-23 15:00:00+01:00,1.1145787239074707,2024-09-23 20:00:00+01:00
LOW,2024-09-24 03:00:00+01:00,1.1106175184249878,2024-09-24 08:00:00+01:00
HIGH,2024-09-25 14:00:00+01:00,1.1215791702270508,2024-09-25 19:00:00+01:00
LOW,2024-09-25 18:00:00+01:00,1.1125946044921875,2024-09-25 23:00:00+01:00
LOW,2024-09-26 09:00:00+01:00,1.1129660606384277,2024-09-26 14:00:00+01:00
LOW,2024-09-26 15:00:00+01:00,1.1129660606384277,2024-09-26 20:00:00+01:00
HIGH,2024-09-26 16:00:00+01:00,1.1191942691802979,2024-09-26 21:00:00+01:00
HIGH,2024-09-27 07:00:00+01:00,1.117817997932434,2024-09-27 12:00:00+01:00
LOW,2024-09-27 08:00:00+01:00,1.1128422021865845,2024-09-27 13:00:00+01:00
HIGH,2024-09-27 14:00:00+01:00,1.1205737590789795,2024-09-27 19:00:00+01:00
LOW,2024-09-27 17:00:00+01:00,1.114951491355896,2024-09-27 22:00:00+01:00
HIGH,2024-09-30 01:00:00+01:00,1.1176930665969849,2024-09-30 06:00:00+01:00
HIGH,2024-09-30 09:00:00+01:00,1.1212018728256226,2024-09-30 14:00:00+01:00
LOW,2024-09-30 19:00:00+01:00,1.1118524074554443,2024-10-01 00:00:00+01:00
HIGH,2024-10-01 06:00:00+01:00,1.1147029399871826,2024-10-01 11:00:00+01:00
LOW,2024-10-01 18:00:00+01:00,1.1049723625183105,2024-10-01 23:00:00+01:00
LOW,2024-10-02 06:00:00+01:00,1.1058276891708374,2024-10-02 11:00:00+01:00
HIGH,2024-10-02 09:00:00+01:00,1.1085245609283447,2024-10-02 14:00:00+01:00
LOW,2024-10-02 16:00:00+01:00,1.1036310195922852,2024-10-02 21:00:00+01:00
LOW,2024-10-03 06:00:00+01:00,1.1027790307998657,2024-10-03 11:00:00+01:00
LOW,2024-10-03 15:00:00+01:00,1.1012003421783447,2024-10-03 20:00:00+01:00
HIGH,2024-10-04 01:00:00+01:00,1.1042402982711792,2024-10-04 06:00:00+01:00
LOW,2024-10-04 17:00:00+01:00,1.0954102277755737,2024-10-04 22:00:00+01:00
LOW,2024-10-07 10:00:00+01:00,1.0958904027938843,2024-10-07 15:00:00+01:00
HIGH,2024-10-07 18:00:00+01:00,1.0990219116210938,2024-10-07 23:00:00+01:00
LOW,2024-10-07 20:00:00+01:00,1.0968520641326904,2024-10-08 01:00:00+01:00
HIGH,2024-10-08 09:00:00+01:00,1.0999890565872192,2024-10-08 14:00:00+01:00
LOW,2024-10-08 16:00:00+01:00,1.096611499786377,2024-10-08 21:00:00+01:00
HIGH,2024-10-08 23:00:00+01:00,1.098538875579834,2024-10-09 04:00:00+01:00
LOW,2024-10-09 08:00:00+01:00,1.0955302715301514,2024-10-09 13:00:00+01:00
HIGH,2024-10-10 02:00:00+01:00,1.0949305295944214,2024-10-10 07:00:00+01:00
HIGH,2024-10-10 14:00:00+01:00,1.0952903032302856,2024-10-10 19:00:00+01:00
LOW,2024-10-10 18:00:00+01:00,1.0903936624526978,2024-10-10 23:00:00+01:00
LOW,2024-10-11 02:00:00+01:00,1.0932546854019165,2024-10-11 07:00:00+01:00
HIGH,2024-10-11 09:00:00+01:00,1.095650315284729,2024-10-11 14:00:00+01:00
LOW,2024-10-11 13:00:00+01:00,1.0928961038589478,2024-10-11 18:00:00+01:00
HIGH,2024-10-11 16:00:00+01:00,1.0955302715301514,2024-10-11 21:00:00+01:00
LOW,2024-10-14 01:00:00+01:00,1.091941475868225,2024-10-14 06:00:00+01:00
HIGH,2024-10-14 10:00:00+01:00,1.0939722061157227,2024-10-14 15:00:00+01:00
LOW,2024-10-14 20:00:00+01:00,1.0893245935440063,2024-10-15 01:00:00+01:00
HIGH,2024-10-14 22:00:00+01:00,1.0915838479995728,2024-10-15 03:00:00+01:00
LOW,2024-10-15 18:00:00+01:00,1.0884946584701538,2024-10-15 23:00:00+01:00
LOW,2024-10-16 01:00:00+01:00,1.0884946584701538,2024-10-16 06:00:00+01:00
HIGH,2024-10-16 04:00:00+01:00,1.0897995233535767,2024-10-16 09:00:00+01:00
HIGH,2024-10-16 13:00:00+01:00,1.090274691581726,2024-10-16 18:00:00+01:00
